rule_id,sbc_ref,detection_type,rule_text,cv_target,category,priority
EP-001,51-3.1,PRESENCE,"All equipment, including wiring, shall be arranged to facilitate its operation, inspection and maintenance and access to its connections.",Equipment accessibility; clear working space around panels,Equipment Presence & Placement,HIGH
EP-002,51-3.1,SPACING,"Equipment likely to require examination, adjustment, servicing, or maintenance while energized shall have clear working space in the direction of access to live parts, not less than specified in Chapter 729.",Clear working space dimensions around electrical equipment,Equipment Presence & Placement,HIGH
EP-003,51-4.1,LABEL,Doors into electrical control panel rooms shall be marked with a plainly visible and legible sign stating 'electrical room' or similar approved wording.,Sign 'ELECTRICAL ROOM' on door,Equipment Presence & Placement,HIGH
EP-004,51-4.1,LABEL,"Labels or other suitable means of identification shall be provided to indicate the purpose of switchgear and controlgear, unless there is no possibility of confusion.",Identification labels on switchgear and controlgear,Equipment Presence & Placement,MEDIUM
EP-005,51-4.1,PRESENCE,"Where the functioning of switchgear and controlgear cannot be observed by the operator, and where this might cause a danger, a suitable indicator complying with IEC 60073 and IEC 60447 shall be fixed in a position visible to the operator.",Status indicator lights on switchgear,Equipment Presence & Placement,HIGH
EP-006,53-6.2.1.1,PRESENCE,Every circuit shall be capable of being isolated from all live conductors. Each supply shall have a means of isolation.,Isolation device present per circuit,Equipment Presence & Placement,HIGH
EP-007,53-6.2.1.2,PRESENCE,Suitable means shall be provided to prevent any equipment from being inadvertently or unintentionally energized.,Lock-off or warning tag on isolation devices,Equipment Presence & Placement,HIGH
EP-008,53-6.4,PRESENCE,Emergency switching shall be provided where electrically powered equipment constitutes a hazard that needs to be rapidly disconnected from supply.,Emergency stop button/switch at identified hazard locations,Equipment Presence & Placement,HIGH
EP-009,55-6.1,PRESENCE,Socket-outlets shall be provided in accordance with the installation requirements for the intended use of the building.,Socket-outlets present per room function,Equipment Presence & Placement,MEDIUM
EP-010,55-8.9,LABEL,"Electric appliances shall be marked with the rated voltage, rated current or power input, and the manufacturer name or trademark.",Nameplate/marking on electric appliances,Equipment Presence & Placement,MEDIUM
EP-011,55-9.5.4,PRESENCE,"If the luminaire does not provide connecting devices for connection to the supply, the connecting devices shall be terminals per IEC 60998 or DCL plug per IEC 61995 or installation couplers per IEC 61535.",Proper luminaire connection device visible,Equipment Presence & Placement,MEDIUM
EP-012,55-9.6,LABEL,Only independent lamp controlgear marked as suitable for independent use shall be used external to a luminaire (IEC 60417-5138 symbol).,Independent-use marking symbol on controlgear,Equipment Presence & Placement,MEDIUM
EP-013,55-9.10.1,CONDITION,"Luminaires installed in wet locations shall be installed so that water cannot enter or accumulate in wiring compartments, lampholders, or other electrical parts.",Proper luminaire enclosure condition in wet areas,Equipment Presence & Placement,HIGH
EP-014,55-9.11,LABEL,"In zones 0 and 1 hazardous locations, each luminaire shall be identified as a complete assembly for the zone and clearly marked to indicate the maximum wattage of lamps.",Zone-rated label and max wattage marking on luminaires,Equipment Presence & Placement,HIGH
LI-001,51-4.2.1,LABEL,"Wiring shall be so arranged or marked that it can be identified for inspection, testing, repairs or alteration of the installation.",Wire identification markers/labels at terminals,Labeling & Signage,MEDIUM
LI-002,51-4.2.2,COLOR,"Where an electrical conduit is required, it shall be distinguished from a pipeline or other services.",Conduit visually distinct from other services,Labeling & Signage,MEDIUM
LI-003,51-4.2.3,COLOR,Identification of conductors by color for electrical installations shall be according to Table 51-2.,Conductor insulation colors per Table 51-2,Labeling & Signage,HIGH
LI-004,51-4.2.4,LABEL,"Where an alteration or addition is made to an installation wired in old colors with an extension in new colors, alphanumeric marking for both old and new conductors at the interface shall be according to Table 51-2.",Alphanumeric conductor markings at old/new color interface,Labeling & Signage,HIGH
LI-005,51-4.2.5,LABEL,"Where an alteration or addition has been made, a warning sign in Arabic and English shall be fixed at the interface between old and new installations on or near the consumer distribution board.",Bilingual warning sign at distribution board for mixed color installations,Labeling & Signage,HIGH
LI-006,51-4.3,LABEL,The protective devices shall be arranged and identified so that the circuits protected may be easily recognized; for this purpose it may be convenient to group them in distribution boards.,Circuit identification labels on protective devices in distribution boards,Labeling & Signage,HIGH
LI-007,51-4.4.1,PRESENCE,"Where appropriate, diagrams, charts or tables per IEC 81346-1 and IEC 61082 shall be provided indicating the type and composition of circuits and the identification of devices performing protection, isolation and switching functions and their locations.",Circuit diagrams/charts posted at distribution boards,Labeling & Signage,MEDIUM
LI-008,51-4.4.2,LABEL,The symbols used in diagrams shall be chosen from IEC 60617.,IEC 60617 standard symbols on diagrams,Labeling & Signage,LOW
LI-009,55-8.9,LABEL,"Electric appliances shall be marked with the rated voltage, rated current or power input, and the manufacturer name or trademark.","Appliance nameplate with voltage, current/power, manufacturer",Labeling & Signage,MEDIUM
LI-010,712:51-4,LABEL,PV installation: DC circuits shall be identified at all points of access and at each end of every conductor.,PV DC circuit identification labels,Labeling & Signage,HIGH
LI-011,722:55-101,LABEL,Socket-outlets and vehicle connectors for EV charging shall be of a type identified for the purpose and clearly marked.,EV charging socket-outlet type marking,Labeling & Signage,HIGH
LI-012,D.57,LABEL,"Battery rooms and enclosures shall have identification labels and warning notices indicating voltage, hazard, and access restrictions.",Warning notice on battery room/enclosure,Labeling & Signage,HIGH
WS-001,52-2.1,CONDITION,Wiring systems shall be selected and erected so that they can withstand the ambient temperature (AA) expected at the installation location. Equipment shall be selected per Table 51-1 external influences.,Wiring type appropriate for ambient conditions; no heat-damaged insulation,Wiring Systems,HIGH
WS-002,52-2.2,SPACING,"Wiring systems shall be placed sufficiently far from heat sources or shall be protected against the effects of heat, including radiant heat, by shields or other suitable means.",Shield/spacing between wiring and heat sources,Wiring Systems,HIGH
WS-003,52-2.3,CONDITION,Wiring systems in locations with presence of water (AD) or high humidity (AB) shall be selected and erected to prevent water ingress or accumulation. IP rating marking shall be visible.,IP-rated enclosures and conduit in wet/humid areas,Wiring Systems,HIGH
WS-004,52-2.4,CONDITION,Wiring systems in locations with presence of solid foreign bodies (AE) shall have appropriate degree of protection (IP code) marked on enclosures.,IP-rated enclosures where dust/solid foreign bodies present,Wiring Systems,MEDIUM
WS-005,52-2.6,CONDITION,"Wiring systems subject to impact (AG) shall be protected by location or by additional mechanical protection such as conduit, trunking, or armor.",Mechanical protection on wiring in impact-prone areas,Wiring Systems,MEDIUM
WS-006,52-7.1,PRESENCE,Precautions within a fire-segregated compartment: wiring systems shall not reduce the fire integrity of the compartment. Fire barriers shall be maintained at penetration points.,Fire barrier/seal at wiring penetrations through compartment walls,Wiring Systems,HIGH
WS-007,52-7.2,PRESENCE,"Sealing of wiring system penetrations: where wiring systems pass through fire-rated walls or floors, the openings shall be sealed to maintain the fire resistance rating.",Fire-rated seal at cable entry through walls/floors,Wiring Systems,HIGH
WS-008,52-8.1,SPACING,Proximity to electrical services: wiring systems for different voltage levels or different types of circuits shall be adequately separated or segregated.,Separation between power and communication cables,Wiring Systems,MEDIUM
WS-009,52-8.3,SPACING,"Proximity to non-electrical services: electrical wiring shall not be run in the same conduit, trunking or duct as non-electrical services unless effectively separated.",No mixed electrical/non-electrical services in same conduit,Wiring Systems,MEDIUM
WS-010,44-4.7,SPACING,Cable management systems for power and information technology cables shall be arranged to minimize electromagnetic interference. Physical separation or use of separate cable trays is required.,Separate cable trays/management for power vs IT cables,Wiring Systems,MEDIUM
WS-011,44-R19,POSITION,Cables in metal cable-trays: preferred arrangement places power cables and signal cables on separate trays or with physical separation within the same tray.,Cable arrangement pattern on metal cable trays,Wiring Systems,MEDIUM
WS-012,44-R20,CONDITION,"Continuity of metallic system components: metallic conduit, trunking, and cable tray sections shall be effectively bonded and connected to maintain electrical continuity.",Intact metallic bonding between conduit/trunking sections,Wiring Systems,MEDIUM
WS-013,52-2.11,CONDITION,"Wiring systems exposed to solar radiation (AN) and ultraviolet radiation shall be of a type resistant to such exposure, or shall be provided with suitable protection.",UV-resistant cable sheathing or protective covering on outdoor wiring,Wiring Systems,MEDIUM
WS-014,52-2.12,SPACING,Wiring systems in seismic areas (AP) shall be installed with suitable supports and fixings to withstand seismic effects. Flexible connections shall be provided where necessary.,Seismic bracing on cable trays and conduit,Wiring Systems,LOW
PD-001,53-1.2,PRESENCE,"Devices for automatic disconnection of supply (circuit breakers, fuses, RCDs) shall be provided for protection against electric shock in TN, TT, and IT systems.",Circuit breakers/fuses/RCDs present at distribution board,Protective Devices,HIGH
PD-002,53-1.6,PRESENCE,Devices for additional protection: residual current protective devices (RCDs) with rated residual operating current not exceeding 30 mA shall be provided for socket-outlets intended for use by ordinary persons.,RCD (30 mA) present in circuit for general-purpose socket-outlets,Protective Devices,HIGH
PD-003,53-1.7,PRESENCE,"Monitoring devices shall be provided where required for protective measures, such as insulation monitoring devices in IT systems.",Insulation monitoring device present in IT system installations,Protective Devices,MEDIUM
PD-004,53-2.3,PRESENCE,"Arc fault detection devices (AFDDs) shall be selected and installed in accordance with the requirements for locations with particular risk of fire, as specified in Section 42-2.",AFDD present in fire-risk location circuits,Protective Devices,MEDIUM
PD-005,53-3.1,LABEL,Devices for protection against overcurrent (OCPDs) shall be clearly identified with their rated current and breaking capacity markings visible.,Rated current and breaking capacity labels on OCPDs,Protective Devices,HIGH
PD-006,53-4.1,PRESENCE,Surge protective devices (SPDs) shall be installed where required by Section 44-3 for protection against transient overvoltages of atmospheric origin.,SPD present at origin of installation (where required),Protective Devices,HIGH
PD-007,53-4.4.3,POSITION,SPDs shall be installed as close as practicable to the origin of the installation and to the incoming protective conductor connection. Connecting leads shall be as short as practicable.,SPD mounted near main distribution board origin,Protective Devices,MEDIUM
PD-008,53-4.4.9,SPACING,"Where the distance between the SPD and the equipment to be protected is greater than 10 m, additional protective measures should be provided, such as an additional SPD close to the equipment.",Additional SPD near equipment if distance > 10 m from origin SPD,Protective Devices,MEDIUM
PD-009,53-6.2,LABEL,Isolating devices shall be clearly identified and indicate the isolated position. The off position shall be clearly indicated.,ON/OFF position indicator on isolating devices,Protective Devices,HIGH
PD-010,53-6.3,PRESENCE,"Switching-off for mechanical maintenance: a device shall be provided to enable equipment to be switched off safely for mechanical maintenance, and shall be clearly identified.",Mechanical maintenance switch with identification label,Protective Devices,MEDIUM
PD-011,53-6.4,PRESENCE,Emergency switching: a device shall be provided for emergency disconnection of supply to any equipment that may give rise to danger. It shall be readily identifiable and accessible.,"Emergency switch/button (red, clearly marked)",Protective Devices,HIGH
PD-012,G.53-1,LABEL,"RCD type marking: RCDs shall be marked with their type designation (AC, A, F, or B) to indicate their behavior in the presence of DC components.",RCD type label (AC/A/F/B) visible on device,Protective Devices,HIGH
SL-001,701:3,POSITION,"Bathrooms: zones 0, 1, and 2 are defined by dimensions from the bathtub or shower. Only equipment permitted in each zone shall be installed. Zone 0 = inside bathtub/shower; Zone 1 = above bathtub up to 2.25 m; Zone 2 = 0.6 m beyond Zone 1.","No prohibited equipment in bathroom zones 0, 1, 2",Special Locations,HIGH
SL-002,701:41,ABSENCE,"In bathroom Zone 0, no switchgear, controlgear, or socket-outlets shall be installed.",No switches/sockets in bathroom Zone 0,Special Locations,HIGH
SL-003,701:41,ABSENCE,"In bathroom Zone 1, only equipment specifically designed for Zone 1 may be installed. Socket-outlets are prohibited.",No socket-outlets in bathroom Zone 1,Special Locations,HIGH
SL-004,701:41-5.2,PRESENCE,"Supplementary equipotential bonding shall be provided in locations containing a bathtub or shower, connecting all exposed-conductive-parts and extraneous-conductive-parts.",Supplementary bonding conductors visible in bathroom,Special Locations,HIGH
SL-005,702:3,POSITION,"Swimming pools: zones 0, 1, and 2 defined. Zone 0 = inside pool; Zone 1 = above pool rim up to 2.5 m; Zone 2 = 2 m beyond Zone 1.","No prohibited equipment in pool zones 0, 1, 2",Special Locations,HIGH
SL-006,702:53,ABSENCE,"In swimming pool Zone 0, no switchgear or controlgear, including socket-outlets, shall be installed.",No switches/sockets in pool Zone 0,Special Locations,HIGH
SL-007,702:52-2.8.104,ABSENCE,"Junction boxes shall not be installed in swimming pool Zone 0. In Zone 1, only SELV junction boxes are permitted and shall have IPX5 minimum and openable only by key or tool.",No junction boxes in pool Zone 0; only IPX5 SELV boxes in Zone 1,Special Locations,HIGH
SL-008,702:51-2.2,LABEL,"Electrical equipment in swimming pool zones shall have at least the IP code according to Table 702-1 (IPX8 for Zone 0, IPX5 for Zone 1, IPX4 for Zone 2).",IP rating mark on equipment in pool zones,Special Locations,HIGH
SL-009,710:41,PRESENCE,Medical locations: RCDs with rated residual operating current not exceeding 30 mA shall be provided for socket-outlets in medical locations of Group 1 and Group 2.,RCD (30 mA) for medical location socket-outlets,Special Locations,HIGH
SL-010,710:53-7,PRESENCE,Medical IT system monitoring: insulation monitoring devices shall be provided for medical IT systems with visual and audible alarms.,Insulation monitoring device with alarm in medical IT system,Special Locations,HIGH
SL-011,710:51-4,LABEL,"Medical location circuits and equipment shall be identified to indicate their group classification (Group 0, 1, or 2) and safety service classification.",Group classification label on medical location distribution boards,Special Locations,HIGH
SL-012,722:55-101,PRESENCE,EV charging: socket-outlets and vehicle connectors for electric vehicle charging shall be of a type specifically identified for EV charging purposes.,EV-rated socket-outlet/connector at charging point,Special Locations,HIGH
SL-013,722:53-6,PRESENCE,EV charging circuits shall be provided with a means of isolation accessible to the user.,Isolation device at EV charging station,Special Locations,HIGH
SL-014,720:3-101,LABEL,"Hazardous locations: zones shall be classified (Zone 0, 1, 2 for gas; Zone 20, 21, 22 for dust) and equipment shall bear marking appropriate to the zone classification.",Zone-classified equipment marking in hazardous areas,Special Locations,HIGH
SL-015,720:52,CONDITION,"Wiring systems in hazardous locations shall be of a type specified for the zone. Cable entries into enclosures shall maintain the type of protection (e.g., flameproof, increased safety).",Correct cable entry/enclosure type in hazardous zones,Special Locations,HIGH
EB-001,54-2.1.2,PRESENCE,"Where provided, earth electrodes within an installation shall be connected to the main earthing terminal using an earthing conductor.",Earthing conductor from electrode to MET,Earthing & Bonding,HIGH
EB-002,54-2.4,PRESENCE,A main earthing terminal (MET) shall be provided in every installation and shall be accessible for connection and testing.,Main earthing terminal present and accessible,Earthing & Bonding,HIGH
EB-003,54-3.2,COLOR,Protective conductors shall have green-and-yellow color identification throughout their length. PEN conductors shall be identified by blue marking at terminations in addition to green-yellow.,Green-yellow PE conductor; blue-marked PEN conductor,Earthing & Bonding,HIGH
EB-004,54-3.8,POSITION,Protective conductors shall be routed so as to minimize the possibility of damage or inadvertent disconnection during normal use or maintenance.,PE conductor routing and physical protection,Earthing & Bonding,MEDIUM
EB-005,54-4.1,PRESENCE,"Protective bonding conductors for connection to the main earthing terminal shall connect all extraneous-conductive-parts including water pipes, gas pipes, heating systems, and air-conditioning.",Bonding conductors on water/gas/heating/AC pipes,Earthing & Bonding,HIGH
EB-006,54-4.2,PRESENCE,"Protective bonding conductors for supplementary bonding shall be provided where required by the protective measures (e.g., bathrooms, medical locations).",Supplementary bonding conductors in special locations,Earthing & Bonding,HIGH
EB-007,54-2.2,CONDITION,Earth electrodes shall be of a type and installed in a manner that provides a reliable connection to earth. Concrete-embedded foundation earth electrodes shall be at least 5 cm deep in concrete.,Foundation earth electrode properly embedded in concrete,Earthing & Bonding,MEDIUM
EB-008,B.54-1,PRESENCE,"The main earthing terminal shall be connected to: foundation earth electrode or soil-embedded earth electrode, earth electrode for lightning protection system (if any), and metallic water/gas/heating service pipes entering the building.",MET connections to electrodes and services,Earthing & Bonding,HIGH
EB-009,54-2.3,LABEL,Earthing conductors shall be identified and accessible for inspection and testing. Connection points shall be accessible.,Earthing conductor identification and accessible connections,Earthing & Bonding,MEDIUM
EB-010,54-5,PRESENCE,"Functional earthing and functional-equipotential-bonding for ICT equipment shall be provided where required, with a main functional earthing terminal (MFET) if needed.",Functional earthing terminal for ICT equipment,Earthing & Bonding,LOW
ES-001,56-0.9,PRESENCE,Emergency lighting applications: emergency lighting shall be provided in locations where loss of normal lighting could cause danger. Emergency luminaires shall be clearly identifiable.,Emergency luminaire presence and identification,Emergency & Safety Services,HIGH
ES-002,56-0.10,PRESENCE,"Fire protection applications or equipment: electrical supplies for fire pumps, fire detection and alarm systems, smoke control systems shall be independently supplied and clearly identified.",Fire protection equipment supply identification,Emergency & Safety Services,HIGH
ES-003,56-0.8,CONDITION,Wiring systems for safety services shall be selected and erected to maintain functionality for the required duration under fire conditions. Fire-resistant cables shall be used where specified.,Fire-rated cable for safety service circuits,Emergency & Safety Services,HIGH
ES-004,C.56,PRESENCE,"Fire switch: where a fire switch is required, it shall be red, clearly labeled, and installed at a readily accessible location near the main entrance to the building or area served.",Red fire switch near main entrance with label,Emergency & Safety Services,HIGH
ES-005,56-0.6,PRESENCE,Electrical sources for safety services shall be independent of the normal supply and clearly identified. Standby generators or battery systems shall be installed in dedicated locations.,Identified safety service power source (generator/battery),Emergency & Safety Services,HIGH
ES-006,56-0.7,LABEL,Electrical circuits of safety services shall be independently identified and segregated from other circuits throughout the installation.,Safety service circuit identification and segregation,Emergency & Safety Services,HIGH
ES-007,718:83,PRESENCE,Fire detection and alarm systems in communal facilities and workplaces shall be provided and shall be clearly identifiable.,"Fire alarm devices (detectors, call points, sounders) visible in communal areas",Emergency & Safety Services,HIGH
ES-008,710:56,PRESENCE,Medical locations: safety service electrical supplies for medical locations shall be provided per group classification. Group 2 locations require uninterruptible power supply for safety lighting and medical IT systems.,UPS/safety supply equipment in medical Group 2 locations,Emergency & Safety Services,HIGH
IP-001,51-2.2,LABEL,Electrical equipment shall be selected and erected in accordance with the requirements of Table 51-1 indicating the characteristics of equipment according to the external influences. IP code marking shall be visible on enclosures.,IP code mark on electrical enclosures,IP Rating & Environmental,HIGH
IP-002,55-9.10.1,LABEL,Luminaires installed in wet locations shall have at least IPX4 unless otherwise specified. IP marking shall be visible on the luminaire.,IPX4+ marking on luminaires in wet locations,IP Rating & Environmental,HIGH
IP-003,702:51-2.2,LABEL,Swimming pool and fountain equipment shall have at least the IP code according to Table 702-1 (Zone 0: IPX8; Zone 1: IPX5; Zone 2: IPX4).,IP rating mark on pool/fountain zone equipment,IP Rating & Environmental,HIGH
IP-004,704:51-2,LABEL,Construction and demolition site installations: equipment shall have a degree of protection of at least IP44.,IP44+ marking on construction site equipment,IP Rating & Environmental,MEDIUM
IP-005,705:51-2,LABEL,Agricultural and horticultural premises: equipment shall have a degree of protection of at least IP44 for indoor locations and IP54 for outdoor locations.,IP44/IP54 marking on agricultural premises equipment,IP Rating & Environmental,MEDIUM
IP-006,710:51-2,LABEL,Medical locations: equipment shall have at least IPX1 for Group 0 locations and IPX4 for areas where cleaning with water jets is used.,IP rating marking on medical location equipment,IP Rating & Environmental,HIGH
IP-007,720:51,LABEL,Hazardous locations: equipment shall bear the appropriate Ex marking and IP protection rating for the zone classification in which it is installed.,Ex marking and IP rating on hazardous zone equipment,IP Rating & Environmental,HIGH
IP-008,51-2.2.2,CONDITION,"If equipment does not have the characteristics relevant to the external influences of its location, it may be used provided it is provided with appropriate additional protection (e.g., additional enclosure). The additional enclosure shall be visually identifiable.",Additional protective enclosure around under-rated equipment,IP Rating & Environmental,MEDIUM
VI-001,61-4.2.2a,PRESENCE,"Initial verification inspection shall confirm: method of protection against electric shock is correctly implemented (barriers, enclosures, insulation visible).",Protective measures against electric shock visibly implemented,Verification Inspection,HIGH
VI-002,61-4.2.2b,PRESENCE,Initial verification inspection shall confirm: presence of fire barriers and other precautions against propagation of fire and protection against thermal effects.,Fire barriers at cable penetrations present and intact,Verification Inspection,HIGH
VI-003,61-4.2.2f,PRESENCE,"Initial verification inspection shall confirm: selection, location and installation of suitable isolating and switching devices.",Isolation and switching devices present and correctly located,Verification Inspection,HIGH
VI-004,61-4.2.2g,LABEL,Initial verification inspection shall confirm: selection of equipment and protective measures appropriate to external influences and mechanical stresses.,Equipment type marking matching environmental conditions,Verification Inspection,MEDIUM
VI-005,61-4.2.2h,COLOR,Initial verification inspection shall confirm: identification of neutral and protective conductors by color and/or marking.,"Correct conductor colors (PE: green-yellow, N: blue)",Verification Inspection,HIGH
VI-006,61-4.2.2i,PRESENCE,"Initial verification inspection shall confirm: presence of diagrams, warning notices or similar information.",Diagrams and warning notices present at distribution board,Verification Inspection,MEDIUM
VI-007,61-4.2.2j,LABEL,"Initial verification inspection shall confirm: identification of circuits, overcurrent protective devices, switches, terminals, etc.","Circuit labels on protective devices, switches, terminals",Verification Inspection,HIGH
VI-008,61-4.2.2k,CONDITION,"Initial verification inspection shall confirm: adequacy of termination and connection of cables and conductors (no loose wires, proper lug connections).",Proper cable terminations (no loose/missing lugs),Verification Inspection,HIGH
